run_id,workload,router_policy,cache_model,ttft_slo_ms,requests_under_slo,goodput_under_slo,quality_adjusted_goodput,mean_quality
agent_session-semantic-copy_on_write-1781440173724,agent_session,semantic,copy_on_write,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-semantic-copy_on_write-1781440173724,agent_session,semantic,copy_on_write,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-semantic-copy_on_write-1781440173724,agent_session,semantic,copy_on_write,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-copy_on_write-1781440173724,agent_session,semantic,copy_on_write,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-copy_on_write-1781440173724,agent_session,semantic,copy_on_write,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-semantic-standard_lora-1781440163784,agent_session,semantic,standard_lora,25.0,26,8.9331107798987,8.237584312271625,0.9221406199067689
agent_session-semantic-standard_lora-1781440163784,agent_session,semantic,standard_lora,50.0,44,15.117572089059337,13.940527297690444,0.9221406199067689
agent_session-semantic-standard_lora-1781440163784,agent_session,semantic,standard_lora,100.0,48,16.491896824428366,15.207847961116846,0.9221406199067689
agent_session-semantic-standard_lora-1781440163784,agent_session,semantic,standard_lora,150.0,48,16.491896824428366,15.207847961116846,0.9221406199067689
agent_session-semantic-standard_lora-1781440163784,agent_session,semantic,standard_lora,250.0,48,16.491896824428366,15.207847961116846,0.9221406199067689
agent_session-sticky_session-activated_lora-1781440184360,agent_session,sticky_session,activated_lora,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-sticky_session-activated_lora-1781440184360,agent_session,sticky_session,activated_lora,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-sticky_session-activated_lora-1781440184360,agent_session,sticky_session,activated_lora,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-activated_lora-1781440184360,agent_session,sticky_session,activated_lora,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-activated_lora-1781440184360,agent_session,sticky_session,activated_lora,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-base_shared-1781440180761,agent_session,sticky_session,base_shared,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-sticky_session-base_shared-1781440180761,agent_session,sticky_session,base_shared,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-sticky_session-base_shared-1781440180761,agent_session,sticky_session,base_shared,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-base_shared-1781440180761,agent_session,sticky_session,base_shared,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-base_shared-1781440180761,agent_session,sticky_session,base_shared,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-copy_on_write-1781440188047,agent_session,sticky_session,copy_on_write,25.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-sticky_session-copy_on_write-1781440188047,agent_session,sticky_session,copy_on_write,50.0,46,17.790014075308093,16.40489460755475,0.9221406199067689
agent_session-sticky_session-copy_on_write-1781440188047,agent_session,sticky_session,copy_on_write,100.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-copy_on_write-1781440188047,agent_session,sticky_session,copy_on_write,150.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-copy_on_write-1781440188047,agent_session,sticky_session,copy_on_write,250.0,48,18.563492948147577,17.11815089483974,0.9221406199067689
agent_session-sticky_session-standard_lora-1781440177191,agent_session,sticky_session,standard_lora,25.0,26,8.9331107798987,8.237584312271625,0.9221406199067689
agent_session-sticky_session-standard_lora-1781440177191,agent_session,sticky_session,standard_lora,50.0,44,15.117572089059337,13.940527297690444,0.9221406199067689
agent_session-sticky_session-standard_lora-1781440177191,agent_session,sticky_session,standard_lora,100.0,48,16.491896824428366,15.207847961116846,0.9221406199067689
agent_session-sticky_session-standard_lora-1781440177191,agent_session,sticky_session,standard_lora,150.0,48,16.491896824428366,15.207847961116846,0.9221406199067689
agent_session-sticky_session-standard_lora-1781440177191,agent_session,sticky_session,standard_lora,250.0,48,16.491896824428366,15.207847961116846,0.9221406199067689
low_overlap_control-cache_aware-activated_lora-1781440200681,low_overlap_control,cache_aware,activated_lora,25.0,0,0.0,0.0,0.9162905747991875
