run_id,request_count,router_policy,cache_model,workload,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_e2e_ms,p50_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_itl_ms,mean_tpot_ms,request_throughput,token_throughput,goodput_under_slo,mean_quality,quality_adjusted_goodput,cache_hit_rate,cached_prompt_token_ratio,fragmentation_index,memory_token_footprint,eviction_count,evicted_tokens,adapter_distribution,adapter_strategy,router_cache_pair
mixed_tasks_same_doc-cache_aware-standard_lora-seed11-1781443446127,64,cache_aware,standard_lora,mixed_tasks_same_doc,15.840740892262298,13.328598269992668,17.442508447605093,81.04293861560183,47.7344908922623,46.251069095274566,67.22682882201806,117.04293861560183,1.2,1.855505684083387,20.949212640751107,556.790792217463,20.949212640751107,0.6881234200478001,14.415643849662258,0.958656330749354,0.93099121706399,0.5738636363636364,505,64,375,"{'qa': 32, 'summary': 32}",specialist-adapter,cache_aware / standard_lora
prompt_layout_ablation-multitask-copy_on_write-seed17-1781443569697,48,multitask,copy_on_write,prompt_layout_ablation,43.414088199199426,66.78290248611259,71.44696074139279,74.31464728407789,77.08908819919942,83.21266876745901,118.24421273478478,123.2942987980195,1.2,2.991493587891451,12.972004512700735,364.02687663766443,12.972004512700735,0.8124141043679188,10.53863942804237,0.9097744360902256,0.46360153256704983,1.0129464285714285,4538,0,0,{'multitask': 48},copy-on-write-delta,multitask / copy_on_write
shared_doc_qa-cache_aware-activated_lora-seed23-1781443588355,48,cache_aware,activated_lora,shared_doc_qa,18.12398256060014,13.545088348316487,71.11061581050731,75.12080031302351,53.12398256060013,52.798137697284105,103.51061581050732,116.10527228052933,1.2,1.923830176565035,18.823889923148545,549.0301227584993,18.823889923148545,0.9241421935002663,17.395950923786057,0.952755905511811,0.8802083333333334,1.0,996,0,0,{'qa': 48},activated-late-specialization,cache_aware / activated_lora
agent_session-oracle-activated_lora-seed11-1781443385528,48,oracle,activated_lora,agent_session,21.30119895788533,20.727445943227533,23.239519108305117,51.40439651648438,55.50119895788532,54.66741742091187,72.1132098011467,95.34243404163028,1.2,2.0636852986197805,18.01762878598004,513.5024204004312,18.01762878598004,0.9230988193068884,16.63205185904798,0.9287833827893175,0.7854454203262233,1.0,1032,0,0,"{'qa': 16, 'json': 16, 'summary': 16}",activated-late-specialization,oracle / activated_lora
prompt_layout_ablation-oracle-copy_on_write-seed17-1781443649722,48,oracle,copy_on_write,prompt_layout_ablation,43.671608438057035,67.0245460896439,71.90334903962332,72.54523785922139,80.07160843805704,88.95573059714366,120.73644597697569,123.18334284917412,1.2,2.792151683394273,12.488821187769627,378.827576029012,12.488821187769627,0.9280930953849774,11.590788713866603,0.9097744360902256,0.46360153256704983,1.0129464285714285,4538,0,0,"{'qa': 24, 'json': 24}",copy-on-write-delta,oracle / copy_on_write
shared_doc_qa-semantic-copy_on_write-seed11-1781443523461,48,semantic,copy_on_write,shared_doc_qa,18.177641192977045,13.469025274437863,70.79922424497421,74.54771382750981,51.17764119297704,50.72611024752372,88.9477138275098,121.1992242449742,1.2,2.0477943488259176,19.539782934294887,537.3440306931094,19.539782934294887,0.9185562147947066,17.948389050036116,0.9506172839506173,0.875,1.0056818181818181,1062,0,0,{'qa': 48},copy-on-write-delta,semantic / copy_on_write
mixed_tasks_same_doc-oracle-activated_lora-seed23-1781443633110,48,oracle,activated_lora,mixed_tasks_same_doc,16.660735991889297,14.65369039051534,17.54557030554094,76.649329159341,50.835735991889294,48.8604666650832,67.64539812817424,110.24932915934099,1.2,1.8912047846918074,19.671201380059635,560.2194226362817,19.671201380059635,0.9075390375591729,17.852383168091993,0.9550982226379794,0.9119014411901442,1.0,758,0,0,"{'qa': 12, 'json': 12, 'summary': 12, 'code': 12}",activated-late-specialization,oracle / activated_lora
prompt_layout_ablation-cache_aware-activated_lora-seed23-1781443596976,48,cache_aware,activated_lora,prompt_layout_ablation,43.733747930227764,67.44543940996866,71.69916156942162,74.72324644390702,75.35874793022776,83.38005392592822,116.64543940996865,121.9370414812982,1.2,3.1314209178795274,13.269859538083988,349.7160899099218,13.269859538083988,0.9297095279907376,12.337114847655451,0.9133574007220217,0.46623563218390807,1.0,4458,0,0,"{'qa': 24, 'json': 24}",activated-late-specialization,cache_aware / activated_lora
mixed_tasks_same_doc-cache_aware-base_shared-seed11-1781443452911,64,cache_aware,base_shared,mixed_tasks_same_doc,15.802083482846555,13.43553802055747,17.84886968854714,81.04293861560183,48.295833482846554,46.08247307837338,65.33335213811247,117.04293861560183,1.2,1.8485076398281866,20.705719891037276,560.6720714244938,20.705719891037276,0.9123983749959312,18.89186518170334,0.958656330749354,0.93099121706399,0.5738636363636364,505,64,375,"{'qa': 16, 'json': 16, 'summary': 16, 'code': 16}",multitask-or-shared-base,cache_aware / base_shared
prompt_layout_ablation-cache_aware-standard_lora-seed17-1781443449539,64,cache_aware,standard_lora,prompt_layout_ablation,78.76694638600684,78.67123241900492,81.43737080805315,81.74044456442961,113.99819638600684,114.3351088819405,129.07571537023438,132.28529851810586,1.2,4.2171242110346725,8.7720686089973,257.5424518172801,8.7720686089973,0.9294578132264533,8.153267706791047,0.0,0.0,0.07948877805486285,510,1534,11906,"{'qa': 32, 'json': 32}",specialist-adapter,cache_aware / standard_lora
