workload,router_policy,cache_model,run_count,quality_adjusted_goodput_mean,quality_adjusted_goodput_std,mean_quality_mean,mean_quality_std,p95_ttft_ms_mean,p95_ttft_ms_std
prompt_layout_ablation,oracle,copy_on_write,6,10.666647259800584,1.9114174224808242,0.9271894724751589,0.002152702237155876,75.1162882191987,4.993331291155775
prompt_layout_ablation,semantic,copy_on_write,6,10.666647259800584,1.9114174224808242,0.9271894724751589,0.002152702237155836,75.1162882191987,4.993331291155774
prompt_layout_ablation,cache_aware,standard_lora,6,10.666647259800584,1.9114174224808242,0.9271894724751589,0.0021527022371558503,75.1162882191987,4.9933312911557755
agent_session,random,standard_lora,1,10.569280421094302,0.0,0.6564728360503742,0.0,55.996552525211925,0.0
mixed_tasks_same_doc,random,standard_lora,1,10.010253513712238,0.0,0.6265501974504485,0.0,75.04856581370417,0.0
shared_doc_qa,multitask,base_shared,3,9.945767988604173,4.713405552292918,0.8192189463938346,0.0010006653015558365,78.81227270775683,5.971190111714002
shared_doc_qa,random,standard_lora,1,9.785919351843917,0.0,0.6548108927172066,0.0,74.58068844966819,0.0
prompt_layout_ablation,multitask,activated_lora,6,9.555338355071727,1.743586662666027,0.8128904028328822,0.0013544171583764295,75.02514379637314,4.966226472259472
prompt_layout_ablation,multitask,copy_on_write,6,9.540354638515106,1.7319783076713988,0.8128904028328822,0.0013544171583764351,75.02514379637314,4.966226472259471
prompt_layout_ablation,multitask,standard_lora,6,9.540354638515106,1.7319783076713993,0.8128904028328822,0.0013544171583764037,75.02514379637314,4.966226472259475
prompt_layout_ablation,semantic,base_shared,3,9.422412428513951,2.0868625615250602,0.9266478192508671,0.002438018319014735,78.36934813465514,5.528494544520793
prompt_layout_ablation,oracle,base_shared,3,9.422412428513951,2.0868625615250602,0.9266478192508671,0.002438018319014735,78.36934813465514,5.528494544520793
prompt_layout_ablation,cache_aware,base_shared,3,9.422412428513951,2.0868625615250602,0.9266478192508671,0.002438018319014735,78.36934813465514,5.528494544520793
low_overlap_control,semantic,copy_on_write,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,semantic,base_shared,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,sticky_session,standard_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,cache_aware,activated_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,oracle,standard_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,oracle,copy_on_write,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,oracle,base_shared,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,oracle,activated_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,sticky_session,activated_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,cache_aware,standard_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,semantic,standard_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,sticky_session,base_shared,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,cache_aware,copy_on_write,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,cache_aware,base_shared,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,semantic,activated_lora,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
low_overlap_control,sticky_session,copy_on_write,1,8.839533275182601,0.0,0.9070162139699103,0.0,72.23918347990696,0.0
prompt_layout_ablation,random,copy_on_write,1,8.583327748656954,0.0,0.6543012656517221,0.0,71.82805298876423,0.0
prompt_layout_ablation,random,base_shared,1,8.583327748656954,0.0,0.6543012656517221,0.0,71.82805298876423,0.0
prompt_layout_ablation,random,activated_lora,1,8.51006551497942,0.0,0.6543012656517221,0.0,73.41192643473238,0.0
prompt_layout_ablation,multitask,base_shared,3,8.432266696706666,1.9510047003853503,0.813489554232277,0.001748160539870521,78.20073235070548,5.585245603905363
low_overlap_control,multitask,standard_lora,1,7.838038730542825,0.0,0.8026429516283026,0.0,71.51667762945138,0.0
low_overlap_control,multitask,copy_on_write,1,7.838038730542825,0.0,0.8026429516283026,0.0,71.51667762945138,0.0
low_overlap_control,multitask,activated_lora,1,7.838038730542825,0.0,0.8026429516283026,0.0,71.51667762945138,0.0
low_overlap_control,multitask,base_shared,1,7.838038730542825,0.0,0.8026429516283026,0.0,71.51667762945138,0.0
prompt_layout_ablation,random,standard_lora,1,7.678451673288841,0.0,0.6543012656517221,0.0,73.41192643473238,0.0
low_overlap_control,random,copy_on_write,1,6.083407638400408,0.0,0.6302410753957726,0.0,72.58943184285252,0.0
low_overlap_control,random,base_shared,1,6.083407638400408,0.0,0.6302410753957726,0.0,72.58943184285252,0.0
low_overlap_control,random,activated_lora,1,6.035827917154344,0.0,0.6302410753957726,0.0,74.57348283686979,0.0
low_overlap_control,random,standard_lora,1,6.035827917154344,0.0,0.6302410753957726,0.0,74.57348283686979,0.0
